employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-49611802,Michelle,Garcia,Male,Washington D.C.,Washington,9/13/2022,Operations,Logistics Coordinator,Bachelor,61095,Satisfactory,No,8/2/2004,7/1/2023
00-85177544,David,Flowers,Female,Virginia,Ashburn,4/10/2022,Operations,Operations Analyst,Master,75258,Good,No,12/9/1990,10/7/2022
00-70206127,Jeff,Mullins,Male,Washington D.C.,Washington,9/2/2017,IT,Software Developer,Bachelor,88273,Satisfactory,No,4/26/1984,3/1/2018
00-53637387,Jose,Graves,Male,Virginia,Fairfax,5/29/2023,Operations,Inventory Specialist,High School,63523,Satisfactory,Yes,5/11/2003,11/25/2023
00-82914021,William,Reynolds,Male,Virginia,Arlington,9/20/2015,Sales,Sales Consultant,PhD,95692,Needs Improvement,No,10/4/1997,10/17/2024
00-93292179,Kenneth,Campbell,Female,Virginia,Manassas,10/3/2019,Marketing,Content Creator,Bachelor,61239,Satisfactory,Yes,9/4/1994,7/22/2023
00-34258208,Christopher,Lopez,Female,Maryland,Bowie,11/13/2016,Customer Service,Help Desk Technician,High School,74317,Satisfactory,No,1/14/1991,5/23/2019
00-89131923,Glenn,Estes,Male,Washington D.C.,Washington,12/10/2016,Operations,Operations Analyst,Bachelor,72784,Good,Yes,10/14/1991,7/8/2021
00-73461593,Margaret,Webb,Male,Washington D.C.,Washington,1/16/2021,Customer Service,Help Desk Technician,Bachelor,72089,Good,No,12/7/1992,7/15/2021
00-48758207,Amber,King,Male,Washington D.C.,Washington,5/17/2021,Operations,Operations Analyst,Master,58116,Good,Yes,6/3/1967,11/13/2021
00-62939096,Noah,Castro,Male,Washington D.C.,Washington,12/30/2018,IT,IT Support Specialist,High School,55956,Satisfactory,No,2/24/2003,10/28/2021
00-53695366,Eric,Stephens,Male,Washington D.C.,Washington,10/29/2020,Sales,Sales Representative,Bachelor,60182,Good,No,6/24/1992,4/27/2021
00-50567833,Wesley,Stone,Female,Washington D.C.,Washington,2/14/2021,Finance,Financial Analyst,Master,75906,Good,No,3/30/1976,8/13/2021
00-51868803,Megan,Gomez,Male,Washington D.C.,Washington,1/24/2020,Sales,Sales Representative,Bachelor,74680,Good,Yes,2/6/1985,10/13/2020
00-69604169,Maria,Ball,Male,Virginia,Fairfax,8/12/2016,Customer Service,Help Desk Technician,High School,59490,Good,No,6/19/2000,6/9/2022
00-13868958,David,Bowen,Male,Virginia,McLean,10/20/2020,Sales,Sales Consultant,Master,80658,Excellent,No,3/31/1966,4/18/2021
00-31281570,Gerald,Compton,Male,Washington D.C.,Washington,3/5/2019,Customer Service,Customer Service Representative,High School,63641,Satisfactory,No,9/10/1976,1/6/2020
00-63467409,Ray,Stone,Male,Maryland,Rockville,9/26/2021,Operations,Operations Analyst,Bachelor,96094,Satisfactory,No,4/29/1965,7/5/2024
00-59812869,Steven,Gallagher,Female,Washington D.C.,Washington,4/12/2023,Marketing,Content Creator,High School,56442,Satisfactory,No,4/1/2000,10/9/2023
00-54126776,Carl,Dalton,Male,Washington D.C.,Washington,2/1/2023,Operations,Inventory Specialist,High School,64864,Good,No,1/12/1985,7/31/2023
00-18399848,Sierra,Davis,Female,Maryland,Bowie,1/24/2024,Marketing,Content Creator,High School,59997,Good,No,8/18/1998,7/22/2024
00-88114842,William,Rose,Male,Maryland,Bowie,9/9/2023,Finance,Accountant,Bachelor,64012,Satisfactory,Yes,2/12/1971,3/7/2024
00-13769702,Todd,Walker,Male,Virginia,Ashburn,4/29/2016,Finance,Accountant,Bachelor,81762,Good,Yes,4/11/1988,9/4/2024
00-59582372,Richard,Garcia,Male,Maryland,National Harbor,7/17/2018,IT,Software Developer,Bachelor,105982,Excellent,No,2/13/1971,6/24/2022
00-95759345,Lance,White,Female,Maryland,Waldorf,4/5/2022,Marketing,SEO Specialist,High School,71270,Good,No,4/17/1980,10/2/2022
00-44219588,Keith,Rhodes,Female,Maryland,Waldorf,11/4/2024,Operations,Logistics Coordinator,Bachelor,62889,Good,No,2/10/1971,5/3/2025
00-32914935,Douglas,Chung,Male,Washington D.C.,Washington,11/19/2017,Operations,Operations Analyst,Master,62944,Satisfactory,Yes,8/5/1989,11/16/2022
00-57067328,Richard,Smith,Female,Maryland,Gaithersburg,7/9/2017,Customer Service,Support Specialist,Bachelor,62689,Satisfactory,Yes,4/8/1981,5/18/2019
00-92291562,Rachel,Brown,Female,Washington D.C.,Washington,3/22/2019,Sales,Sales Representative,Bachelor,70046,Excellent,Yes,9/25/1972,11/21/2021
00-17951988,Amber,Blackwell,Female,Washington D.C.,Washington,8/14/2015,Customer Service,Customer Service Representative,High School,59825,Excellent,Yes,5/1/1992,9/5/2017
00-69177033,Terry,Smith,Male,Washington D.C.,Washington,11/5/2024,Marketing,Marketing Coordinator,Bachelor,78355,Satisfactory,No,8/29/1971,5/4/2025
00-33528633,Joshua,Smith,Male,Washington D.C.,Washington,5/9/2024,IT,Software Developer,Bachelor,85628,Good,No,8/9/1986,11/5/2024
00-43642880,James,Wilson,Male,Virginia,Tysons,7/4/2023,Operations,Logistics Coordinator,Bachelor,69660,Satisfactory,Yes,8/15/1997,12/31/2023
00-83834780,Michael,Howard,Male,Washington D.C.,Washington,4/22/2015,Sales,Sales Specialist,PhD,62148,Good,No,6/14/1978,5/31/2018
00-34979983,Lori,Jennings,Female,Washington D.C.,Washington,8/27/2022,Operations,Inventory Specialist,Bachelor,56842,Excellent,No,12/3/1988,2/23/2023
00-57802901,Mike,James,Female,Washington D.C.,Washington,7/11/2020,Operations,Logistics Coordinator,Bachelor,58026,Satisfactory,Yes,10/7/1974,10/30/2021
00-79226406,Richard,Reese,Male,Maryland,Rockville,2/25/2023,Operations,Inventory Specialist,High School,62741,Satisfactory,No,3/23/2002,8/24/2023
00-69873567,James,Walsh,Male,Washington D.C.,Washington,4/23/2024,Operations,Inventory Specialist,High School,59828,Good,Yes,6/23/1992,10/20/2024
00-35645457,Kim,Griffin,Female,Washington D.C.,Washington,2/15/2016,Customer Service,Customer Service Representative,High School,56633,Excellent,Yes,9/11/1986,6/7/2018
00-27647068,Stacy,Brown,Female,Maryland,Baltimore,3/14/2022,Customer Service,Support Specialist,High School,62998,Good,No,11/13/1972,4/3/2023
00-95293961,Michael,Phillips,Male,Virginia,Fairfax,6/7/2023,Sales,Sales Representative,Bachelor,72806,Satisfactory,Yes,5/15/2001,12/4/2023
00-62995174,Joshua,Phillips,Female,Washington D.C.,Washington,12/24/2017,Customer Service,Support Specialist,High School,60776,Needs Improvement,No,1/4/1999,6/22/2018
00-19592747,Christopher,Singleton,Female,Maryland,Waldorf,3/6/2024,Customer Service,Customer Service Representative,High School,61563,Good,No,11/19/2003,9/2/2024
00-71770701,Ronald,Chavez,Male,Washington D.C.,Washington,1/25/2019,Operations,Logistics Coordinator,Bachelor,60063,Good,No,4/5/2003,7/24/2019
00-89931034,Timothy,Barrett,Female,Washington D.C.,Washington,8/30/2023,Sales,Sales Representative,Bachelor,68081,Satisfactory,No,3/21/2001,2/26/2024
00-23739841,Michelle,Young,Male,Washington D.C.,Washington,12/23/2022,IT,IT Support Specialist,Bachelor,73392,Good,No,8/27/1979,6/21/2023
00-23788558,Amanda,Richardson,Male,Virginia,Fairfax,6/6/2020,Sales,Sales Representative,Bachelor,76676,Excellent,No,10/30/1985,5/7/2021
00-37284553,Joshua,White,Female,Virginia,Ashburn,12/1/2020,Operations,Logistics Coordinator,Bachelor,62525,Good,Yes,10/8/1972,5/30/2021
00-68997159,Carl,Murphy,Male,Maryland,Brandywine,11/26/2017,Operations,Inventory Specialist,Bachelor,58831,Satisfactory,No,11/4/1994,5/25/2018
00-36014440,Seth,Johnson,Male,Virginia,Richmond,5/27/2020,Operations,Logistics Coordinator,Bachelor,60595,Good,No,6/30/1988,11/23/2020
00-54312046,Denise,Jacobs,Female,Washington D.C.,Washington,4/24/2016,Sales,Sales Specialist,Master,83274,Satisfactory,No,10/1/1998,4/23/2022
00-47300253,Jeffrey,Long,Female,Maryland,Waldorf,12/18/2020,HR,HR Assistant,High School,64153,Excellent,No,11/5/1972,11/26/2021
00-67864722,Logan,Miller,Female,Virginia,Ashburn,2/19/2017,Operations,Logistics Coordinator,Bachelor,58086,Excellent,No,11/29/1989,8/18/2017
00-99466667,Elizabeth,Ruiz,Female,Washington D.C.,Washington,6/24/2017,Sales,Sales Representative,Bachelor,63884,Good,No,2/20/1980,12/21/2017
00-94854799,Jamie,Munoz,Female,Virginia,Ashburn,7/7/2017,Marketing,Marketing Manager,PhD,118102,Good,Yes,10/27/1986,3/13/2022
00-98653389,Keith,Ross,Male,Maryland,Bethesda,2/10/2024,Sales,Sales Specialist,Bachelor,66721,Excellent,Yes,6/11/1961,8/8/2024
00-14054599,Michael,Fleming,Female,Virginia,McLean,12/8/2020,Customer Service,Support Specialist,High School,64273,Excellent,Yes,5/29/1985,6/6/2021
00-32890601,John,Love,Female,Washington D.C.,Washington,7/29/2024,Sales,Sales Representative,Bachelor,65469,Good,Yes,2/29/1972,1/25/2025
00-67447842,Christopher,Mathews,Female,Maryland,National Harbor,5/11/2019,Operations,Operations Manager,Bachelor,94176,Needs Improvement,Yes,6/24/1990,11/7/2019
00-84519390,Richard,Cook,Male,Maryland,Bowie,5/1/2015,Marketing,SEO Specialist,High School,69029,Needs Improvement,No,11/28/2003,8/3/2022
00-83118198,Nathan,Sharp,Male,Washington D.C.,Washington,10/26/2018,Sales,Sales Consultant,Bachelor,90921,Good,No,9/6/1989,2/9/2020
00-82787771,Tyler,Jackson,Female,Washington D.C.,Washington,2/6/2022,Marketing,Content Creator,High School,57533,Satisfactory,No,11/17/1981,8/5/2022
00-73317630,Melissa,Hancock,Female,Washington D.C.,Washington,3/12/2023,Sales,Sales Consultant,PhD,112289,Good,No,3/6/1975,2/7/2024
00-62291595,Billy,George,Female,Washington D.C.,Washington,11/27/2018,Marketing,SEO Specialist,High School,69709,Satisfactory,Yes,4/10/1998,4/19/2023
00-40601621,Gerald,Michael,Female,Washington D.C.,Washington,11/15/2020,Operations,Inventory Specialist,High School,62168,Satisfactory,Yes,12/27/1968,10/3/2022
00-97970115,Jeffrey,Murray,Female,Maryland,Gaithersburg,2/28/2016,Customer Service,Customer Service Representative,Bachelor,57732,Good,No,4/19/1992,11/4/2017
00-18971961,Dwayne,Johnson,Male,Virginia,Fairfax,1/8/2023,Marketing,Marketing Coordinator,Bachelor,67047,Satisfactory,No,4/28/1979,7/7/2023
00-14198529,Michael,King,Male,Washington D.C.,Washington,3/9/2023,Customer Service,Customer Service Representative,Bachelor,70943,Satisfactory,Yes,6/17/1993,9/5/2023
00-72092046,Adam,Benson,Male,Maryland,Upper Marlboro,6/15/2016,Customer Service,Customer Service Representative,Bachelor,62932,Good,No,6/3/1996,4/15/2017
00-13271113,Laura,Campbell,Female,Virginia,Ashburn,8/27/2024,Sales,Sales Consultant,Bachelor,62617,Excellent,No,7/16/1999,2/23/2025
00-23875869,Melissa,Montoya,Female,Washington D.C.,Washington,7/9/2015,Operations,Logistics Coordinator,Bachelor,57139,Satisfactory,Yes,12/15/1976,10/16/2023
00-32485500,Andrew,Jennings,Female,Washington D.C.,Washington,11/5/2019,Customer Service,Help Desk Technician,Bachelor,79203,Excellent,No,8/31/1985,7/21/2022
00-98707687,Deborah,Garcia,Male,Virginia,Arlington,4/26/2018,Operations,Inventory Specialist,Bachelor,66138,Needs Improvement,No,11/27/1996,1/8/2020
00-90857368,Danielle,Jackson,Male,Washington D.C.,Washington,10/23/2023,Customer Service,Help Desk Technician,High School,83806,Satisfactory,No,4/12/1995,4/20/2024
00-62866523,Benjamin,Houston,Male,Virginia,Manassas,11/9/2019,Marketing,Content Creator,High School,54265,Good,No,3/22/1992,10/3/2022
00-34909679,Jeffrey,Edwards,Male,Maryland,Upper Marlboro,3/21/2016,IT,Software Developer,Bachelor,95915,Good,Yes,3/10/1976,9/19/2021
00-62670897,Angela,Rodriguez,Female,Washington D.C.,Washington,2/15/2023,Sales,Sales Representative,Bachelor,61807,Good,Yes,3/20/1993,8/14/2023
00-74080224,Michael,Tate,Male,Virginia,Reston,8/9/2021,Operations,Logistics Coordinator,Bachelor,60749,Good,No,12/8/1993,2/5/2022
00-63631657,Marie,Stone,Male,Virginia,McLean,1/19/2016,Sales,Sales Specialist,PhD,68466,Good,Yes,5/11/1992,11/20/2017
00-94799436,Sabrina,Stokes,Male,Maryland,Gaithersburg,3/22/2017,Marketing,Content Creator,High School,60454,Good,No,5/14/1990,4/17/2020
00-64943803,Scott,Rowe,Male,Maryland,College Park,7/4/2024,Customer Service,Help Desk Technician,Bachelor,67381,Good,Yes,8/15/2004,12/31/2024
00-32986590,Cassandra,Torres,Female,Washington D.C.,Washington,11/2/2022,Sales,Sales Specialist,Master,82415,Good,Yes,3/4/1994,5/1/2023
00-53334835,Rebecca,Dean,Male,Washington D.C.,Washington,9/1/2016,Operations,Logistics Coordinator,Bachelor,61326,Good,No,11/13/1993,8/15/2021
00-21092155,Latoya,Thompson,Female,Virginia,Virginia Beach,10/7/2020,IT,Software Developer,Bachelor,94253,Needs Improvement,No,2/28/2005,4/5/2021
00-19027561,Brenda,Brewer,Female,Maryland,Waldorf,11/27/2022,Customer Service,Support Specialist,High School,59266,Good,No,3/1/1985,5/26/2023
00-85357963,David,Chambers,Female,Virginia,Tysons,11/1/2022,Operations,Logistics Coordinator,Bachelor,56285,Excellent,No,10/13/1981,4/30/2023
00-24010706,Natalie,Tucker,Male,Virginia,Fairfax,1/19/2017,Sales,Sales Consultant,Bachelor,84958,Satisfactory,No,1/13/1975,2/2/2024
00-90641125,Jeffery,Campbell,Female,Washington D.C.,Washington,1/3/2022,Sales,Sales Consultant,Bachelor,84960,Good,No,9/17/1978,7/2/2022
00-31365387,Timothy,Shah,Female,Maryland,Baltimore,8/31/2022,Operations,Inventory Specialist,High School,59111,Satisfactory,Yes,9/1/1981,2/27/2023
00-21940924,Brittany,Martinez,Male,Virginia,Reston,6/4/2022,Operations,Logistics Coordinator,Bachelor,64716,Needs Improvement,No,6/17/1977,12/1/2022
00-91096977,Laura,Brown,Male,Washington D.C.,Washington,5/29/2019,IT,IT Support Specialist,Bachelor,69702,Needs Improvement,No,4/24/1990,11/25/2019
00-41570741,Anthony,Flores,Female,Washington D.C.,Washington,1/16/2023,Customer Service,Customer Service Representative,High School,61517,Good,No,4/11/1989,7/15/2023
00-80351702,Andrew,Torres,Male,Washington D.C.,Washington,10/9/2024,Operations,Inventory Specialist,Bachelor,65167,Good,No,7/7/1970,4/7/2025
00-28374735,Diamond,Robinson,Male,Maryland,College Park,5/21/2016,Operations,Inventory Specialist,Bachelor,67484,Excellent,Yes,8/14/1962,1/31/2017
00-35492797,Jenna,Stone,Female,Washington D.C.,Washington,8/15/2020,Operations,Inventory Specialist,High School,54323,Good,No,1/29/1986,7/16/2021
00-77508547,Christopher,Rodriguez,Male,Washington D.C.,Washington,3/22/2022,IT,IT Support Specialist,High School,58877,Satisfactory,No,4/12/1986,9/18/2022
00-64925565,Rachel,Barker,Female,Maryland,Waldorf,12/1/2020,Operations,Inventory Specialist,Bachelor,61345,Good,No,1/30/1971,7/25/2022
00-70941463,Todd,Torres,Male,Washington D.C.,Washington,10/23/2017,Finance,Financial Analyst,PhD,80437,Good,Yes,10/12/1978,7/22/2021
00-44584242,Kellie,Garcia,Female,Virginia,Ashburn,8/14/2020,HR,HR Manager,PhD,93009,Satisfactory,No,1/29/1961,2/10/2021
00-15256477,Angela,Lopez,Female,Maryland,Gaithersburg,12/14/2019,Sales,Sales Specialist,PhD,67758,Excellent,Yes,9/8/1976,6/11/2020
00-94807002,Jacob,Clark,Male,Washington D.C.,Washington,11/13/2018,Customer Service,Support Specialist,High School,61695,Satisfactory,Yes,8/22/1979,5/12/2019
00-27606867,Dale,Williams,Male,Washington D.C.,Washington,3/21/2022,Finance,Accounts Payable Specialist,Bachelor,65611,Good,No,1/25/1996,9/17/2022
00-43812929,William,Ruiz,Male,Washington D.C.,Washington,8/4/2020,Customer Service,Help Desk Technician,High School,84240,Satisfactory,No,5/18/1997,11/19/2024
00-35978328,Rita,Calhoun,Female,Washington D.C.,Washington,3/12/2021,Operations,Inventory Specialist,High School,60729,Satisfactory,No,1/5/1980,9/8/2021
00-87820926,Janice,Michael,Female,Washington D.C.,Washington,6/1/2017,Finance,Accountant,Bachelor,80535,Good,Yes,1/14/1987,9/7/2019
00-80570954,Sandra,Watts,Female,Virginia,Richmond,3/20/2022,Operations,Inventory Specialist,Bachelor,61183,Excellent,Yes,10/27/1978,9/16/2022
00-99428163,Michael,Freeman,Male,Washington D.C.,Washington,8/14/2015,Operations,Operations Analyst,Master,80120,Satisfactory,No,12/27/1972,1/7/2020
00-76461001,Jason,Jones,Female,Washington D.C.,Washington,3/13/2017,Finance,Accountant,Bachelor,62573,Needs Improvement,Yes,6/29/1975,6/9/2023
00-34527339,Rose,Lee,Female,Washington D.C.,Washington,6/13/2016,Customer Service,Support Specialist,High School,53681,Good,Yes,3/8/1991,10/6/2019
00-14024316,Norma,Garza,Female,Washington D.C.,Washington,3/12/2024,Sales,Sales Specialist,PhD,89268,Good,Yes,7/20/1980,9/8/2024
00-88814560,Cindy,Banks,Male,Maryland,Upper Marlboro,5/9/2020,Customer Service,Customer Service Representative,Bachelor,67839,Satisfactory,No,5/8/1973,11/14/2024
00-64269003,Toni,Silva,Male,Washington D.C.,Washington,10/19/2018,Operations,Inventory Specialist,Bachelor,67016,Satisfactory,Yes,2/8/1961,10/1/2021
00-57019856,Zachary,Ross,Male,Washington D.C.,Washington,7/9/2019,Marketing,SEO Specialist,Bachelor,60828,Good,No,7/22/1990,11/7/2020
00-94036485,Kara,Fields,Male,Washington D.C.,Washington,9/9/2015,HR,Recruiter,High School,63557,Satisfactory,No,5/2/1988,6/10/2018
00-14123585,Candice,Jacobs,Female,Virginia,Tysons,4/19/2019,Sales,Sales Specialist,Master,84240,Good,No,6/6/1988,2/27/2021
00-11761439,Karla,Hutchinson,Female,Washington D.C.,Washington,10/15/2024,Customer Service,Help Desk Technician,Bachelor,78070,Satisfactory,Yes,1/19/1990,4/13/2025
00-89135061,Fred,Wright,Female,Maryland,Brandywine,6/27/2023,Sales,Sales Consultant,PhD,84823,Good,Yes,11/16/1994,12/24/2023
00-83828253,Kendra,Sanders,Male,Virginia,Tysons,10/27/2023,Customer Service,Customer Service Representative,Bachelor,63399,Satisfactory,Yes,1/23/1994,4/24/2024
00-97566218,Sheila,Johnson,Female,Virginia,Richmond,7/13/2017,IT,System Administrator,Bachelor,82485,Good,Yes,4/10/1994,4/30/2018
00-74306159,Christina,Torres,Female,Virginia,Virginia Beach,4/13/2023,Sales,Sales Representative,Bachelor,66193,Needs Improvement,No,5/4/1993,10/10/2023
00-12769902,Stephanie,Perez,Male,Washington D.C.,Washington,3/23/2022,Marketing,Marketing Manager,PhD,98139,Good,No,7/6/1966,9/19/2022
00-51866779,Troy,Stafford,Male,Maryland,Upper Marlboro,1/6/2019,Sales,Sales Representative,Bachelor,82856,Satisfactory,No,10/16/1993,7/5/2019
00-47655300,Joseph,Aguilar,Male,Washington D.C.,Washington,6/23/2019,Sales,Sales Representative,Bachelor,71614,Excellent,No,10/6/1979,9/2/2021
00-86784071,Gina,Thomas,Male,Maryland,National Harbor,10/25/2016,Operations,Logistics Coordinator,Bachelor,66017,Satisfactory,No,5/31/1960,8/15/2018
00-79554679,Lisa,Clark,Female,Washington D.C.,Washington,10/10/2024,IT,Software Developer,Bachelor,106163,Good,No,3/28/1962,4/8/2025
00-39069835,Dylan,Hernandez,Male,Washington D.C.,Washington,10/24/2020,Operations,Operations Analyst,Bachelor,84023,Good,No,11/6/1998,4/22/2021
00-69786337,Patrick,Lewis,Female,Maryland,Gaithersburg,2/4/2017,Finance,Accountant,Bachelor,81506,Needs Improvement,No,10/11/1996,1/4/2024
00-25543834,Laura,Cervantes,Female,Washington D.C.,Washington,9/7/2020,IT,Software Developer,Master,81489,Excellent,No,11/15/1979,3/6/2021
00-32321406,Jonathan,Singh,Female,Washington D.C.,Washington,11/3/2023,Finance,Accounts Payable Specialist,Bachelor,60150,Good,No,6/7/1995,5/1/2024
00-16713659,Erika,Wood,Female,Washington D.C.,Washington,4/4/2020,Operations,Inventory Specialist,High School,52579,Good,No,12/18/2003,6/24/2021
00-47404526,Kevin,Lee,Male,Washington D.C.,Washington,1/25/2024,Customer Service,Customer Service Representative,High School,62792,Good,No,3/21/1982,7/23/2024
00-89860334,Jack,Padilla,Female,Washington D.C.,Washington,6/14/2023,Sales,Sales Representative,Bachelor,71536,Good,Yes,12/19/1996,12/11/2023
00-86407228,Sabrina,Richards,Female,Maryland,Gaithersburg,8/15/2024,IT,Software Developer,Master,93934,Good,Yes,3/5/1990,2/11/2025
00-33274442,Brian,Silva,Male,Virginia,McLean,8/14/2023,IT,Software Developer,Bachelor,104918,Satisfactory,No,2/28/1988,2/10/2024
00-20950269,Elizabeth,Myers,Female,Maryland,National Harbor,8/7/2017,IT,IT Support Specialist,High School,59896,Satisfactory,Yes,8/12/2003,4/3/2022
00-62065736,Teresa,Wiley,Male,Maryland,Bethesda,1/12/2017,Finance,Accountant,Bachelor,101240,Good,No,9/21/1976,10/11/2019
00-70555023,Nicole,Schwartz,Male,Maryland,College Park,7/31/2023,Operations,Inventory Specialist,Bachelor,67123,Excellent,No,9/29/1981,1/27/2024
00-31031266,Elizabeth,Hernandez,Male,Washington D.C.,Washington,6/28/2018,Sales,Sales Specialist,Bachelor,62721,Good,Yes,8/5/1999,5/4/2024
00-42683561,Marissa,Smith,Female,Virginia,Virginia Beach,9/27/2017,Operations,Logistics Coordinator,Bachelor,62521,Good,No,9/19/1980,2/19/2021
00-73260105,Timothy,Thompson,Male,Maryland,Waldorf,8/13/2022,IT,IT Support Specialist,Bachelor,62724,Good,No,1/5/1992,2/9/2023
00-55916841,Cheryl,Carrillo,Male,Maryland,Bethesda,3/11/2019,Customer Service,Customer Service Representative,Bachelor,66362,Needs Improvement,Yes,10/2/1997,9/7/2019
00-22763395,Rachel,Ramirez,Male,Washington D.C.,Washington,3/12/2022,Finance,Accountant,Bachelor,92668,Good,No,10/22/1993,9/8/2022
00-57782778,Paul,Miller,Female,Maryland,Brandywine,9/27/2019,Marketing,Content Creator,Bachelor,60475,Good,No,3/5/1992,3/25/2020
00-62675903,Justin,Kelly,Male,Virginia,Manassas,8/23/2023,Marketing,Marketing Manager,Bachelor,102940,Excellent,No,12/14/1991,8/10/2024
00-94972950,Keith,Hunt,Female,Virginia,Reston,9/25/2021,Sales,Sales Specialist,PhD,86560,Good,No,2/27/1989,3/24/2022
00-35275794,Trevor,Beard,Female,Virginia,Alexandria,5/29/2022,Customer Service,Support Specialist,High School,55499,Satisfactory,No,1/10/1995,11/25/2022
00-11143921,Wendy,Gregory,Male,Washington D.C.,Washington,3/24/2017,Operations,Inventory Specialist,High School,60156,Satisfactory,Yes,6/7/1986,8/13/2021
00-12126229,Randy,Trevino,Female,Virginia,Virginia Beach,3/19/2020,Operations,Operations Analyst,Master,69084,Good,No,2/7/1989,7/3/2021
00-81964578,John,Miller,Male,Washington D.C.,Washington,9/29/2021,IT,Software Developer,Bachelor,96218,Excellent,Yes,7/9/1973,3/28/2022
00-25230117,Gabrielle,Harris,Female,Washington D.C.,Washington,11/4/2024,IT,System Administrator,Bachelor,71586,Good,No,11/16/1996,5/3/2025
00-48853238,Amber,Glover,Female,Maryland,College Park,9/17/2017,Operations,Inventory Specialist,High School,61463,Good,No,2/9/1993,1/18/2023
00-84045990,Sue,James,Female,Washington D.C.,Washington,1/11/2020,Operations,Logistics Coordinator,Bachelor,55741,Satisfactory,No,4/29/1990,9/23/2020
00-26516534,Nicole,Blanchard,Female,Washington D.C.,Washington,3/15/2020,Operations,Operations Analyst,Bachelor,61754,Good,No,3/8/1995,9/11/2020
00-34179644,Todd,Sanchez,Female,Maryland,Silver Spring,2/22/2020,Sales,Sales Consultant,Bachelor,92831,Excellent,Yes,3/21/1997,8/20/2020
00-97783708,Michelle,Tran,Male,Virginia,Manassas,3/5/2017,Operations,Inventory Specialist,High School,57077,Good,No,2/20/1985,9/1/2017
00-75851907,Teresa,Brown,Female,Washington D.C.,Washington,12/16/2016,Finance,Accounts Payable Specialist,Bachelor,54368,Satisfactory,No,5/17/2002,11/14/2018
00-72461899,Pamela,Stewart,Female,Washington D.C.,Washington,5/16/2016,Marketing,SEO Specialist,Bachelor,79320,Good,No,5/24/1991,8/11/2024
00-48391838,Hannah,Kim,Male,Virginia,Alexandria,5/17/2024,HR,HR Coordinator,Bachelor,67939,Needs Improvement,Yes,8/15/2002,11/13/2024
00-75277583,Debra,Jackson,Male,Maryland,College Park,11/23/2020,HR,Recruiter,High School,64520,Satisfactory,No,11/9/2002,5/22/2021
